tourney_name,city_venue,country_venue
Madrid Masters,Madrid,Spain
Auckland,Auckland,New Zealand
St. Poelten,St. Poelten,Austria
Munich,Munich,Germany
Queen's Club,London,United Kingdom
Gstaad,Gstaad,Switzerland
Newport,Newport,United States
Bastad,Bastad,Sweden
Amersfoort,Amersfoort,Netherlands
Kitzbuhel,Kitzbuhel,Austria
Stuttgart,Stuttgart,Germany
Palermo,Palermo,Italy
Basel,Basel,Switzerland
Tokyo,Tokyo,Japan
Hong Kong,Hong Kong,Hong Kong
Vienna,Vienna,Austria
Sydney,Sydney,Australia
Adelaide,Adelaide,Australia
Paris Masters,Paris,France
Casablanca,Casablanca,Morocco
Lyon,Lyon,France
Memphis,Memphis,United States
Miami Masters,Miami,United States
Indian Wells Masters,Indian Wells,United States
Rotterdam,Rotterdam,Netherlands
Milan,Milan,Italy
Monte Carlo Masters,Monte Carlo,Monaco
Hamburg Masters,Hamburg,Germany
Rome Masters,Rome,Italy
Washington,Washington,United States
Indianapolis,Indianapolis,United States
Canada Masters,Montreal,Canada
Cincinnati Masters,Cincinnati,United States
Los Angeles,Los Angeles,United States
San Jose,San Jose,United States
Barcelona,Barcelona,Spain
Stockholm,Stockholm,Sweden
Scottsdale,Scottsdale,United States
Moscow,Moscow,Russia
Umag,Umag,Croatia
s Hertogenbosch,s Hertogenbosch,Netherlands
Long Island,New York,United States
Doha,Doha,Qatar
Estoril,Estoril,Portugal
Sopot,Sopot,Poland
Copenhagen,Copenhagen,Denmark
Dubai,Dubai,United Arab Emirates
Marseille,Marseille,France
Delray Beach,Delray Beach,United States
Halle,Halle,Germany
Vina del Mar,Vina del Mar,Chile
Buenos Aires,Buenos Aires,Argentina
Roland Garros,Paris,France
Costa Do Sauipe,Costado Do Sauipe,Brazil
Wimbledon,London,United Kingdom
US Open,New York,United States
St. Petersburg,St. Petersburg,Russia
Mallorca,Mallorca,Spain
Australian Open,Melbourne,Australia
Houston,Houston,United States
Tashkent,Tashkent,Uzbekistan
Nottingham,Nottingham,United Kingdom
Bucharest,Bucharest,Romania
Acapulco,Acapulco,Mexico
Chennai,Chennai,India
Dusseldorf,Dusseldorf,Germany
Bangkok,Bangkok,Thailand
Metz,Metz,France
Valencia,Valencia,Spain
Shanghai,Shanghai,China
Beijing,Beijing,China
Athens Olympics,Athens,Greece
New Haven,New Haven,United States
Ho Chi Minh City,Ho Chi Minh City,Vietnam
Zagreb,Zagreb,Croatia
Poertschach,Poertschach,Austria
Mumbai,Mumbai,India
Las Vegas,Las Vegas,United States
Warsaw,Warsaw,Poland
Beijing Olympics,Beijing,China
Brisbane,Brisbane,Australia
Hamburg,Hamburg,Germany
Johannesburg,Johannesburg,South Africa
Shanghai Masters,Shanghai,China
Belgrade,Belgrade,Serbia
Kuala Lumpur,Kuala Lumpur,Malaysia
Eastbourne,Eastbourne,United Kingdom
Santiago,Santiago de Chile,Chile
Nice,Nice,France
Atlanta,Atlanta,United States
Montpellier,Montpellier,France
Winston-Salem,Winston-Salem,United States
Sao Paulo,Sao Paulo,Brazil
London Olympics,London,United Kingdom
Bogota,Bogota,Colombia
Rio de Janeiro,Rio de Janeiro,Brazil
Shenzhen,Shenzhen,China
Quito,Quito,Ecuador
Istanbul,Istanbul,Turkey
Geneva,Geneva,Switzerland
Sofia,Sofia,Bulgaria
Marrakech,Marrakech,Morocco
Los Cabos,Los Cabos,Mexico
Rio Olympics,Rio de Janeiro,Brazil
Chengdu,Chengdu,China
Antwerp,Antwerp,Belgium
Budapest,Budapest,Hungary
Antalya,Antalya,Turkey
Pune,Pune,India
New York,New York,United States
Cordoba,Cordoba,Spain
Zhuhai,Zhuhai,China
Cologne 1,Cologne,Germany
Sardinia,Sardinia,Italy
St Petersburg,St Petersburg,Russia
Cologne 2,Cologne,Germany
Nur-Sultan,Nur-Sultan,Kazakhstan
Tokyo Olympics,Tokyo,Japan
Great Ocean Road Open,Melbourne,Australia
Murray River Open,Melbourne,Australia
Singapore,Singapore,Singapore
Marbella,Marbella,Spain
Cagliari,Cagliari,Italy
Parma,Parma,Italy
Belgrade 2,Belgrade,Serbia
San Diego,San Diego,United States
Adelaide 1,Adelaide,Australia
Melbourne,Melbourne,Australia
Adelaide 2,Adelaide,Australia
Dallas,Dallas,United States
Belgrade ,Belgrade,Serbia
ATP Rio de Janeiro,Rio de Janeiro,Brasil
